Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.5299987793,223.0,214.8099975586,217.6900024414,212.876663208,37130100
2021-01-05,217.2599945068,218.5200042725,215.6999969482,217.8999938965,213.0820007324,23823000
2021-01-06,212.1699981689,216.4900054932,211.9400024414,212.25,207.556930542,35930700
2021-01-07,214.0399932861,219.3399963379,213.7100067139,218.2899932861,213.4633789062,27694500
2021-01-08,218.6799926758,220.5800018311,217.0299987793,219.6199951172,214.7639770508,22956200
2021-01-11,218.4700012207,218.9100036621,216.7299957275,217.4900054932,212.6810913086,23031300
2021-01-12,216.5,217.1000061035,213.3200073242,214.9299926758,210.1776580811,23249300
2021-01-13,214.0200042725,216.7599945068,213.9299926758,216.3399963379,211.5565032959,20087100
2021-01-14,215.9100036621,217.4600067139,212.7400054932,213.0200042725,208.3099060059,29480800
2021-01-15,213.5200042725,214.5099945068,212.0299987793,212.6499938965,207.9480743408,31746500
2021-01-19,213.75,216.9799957275,212.6300048828,216.4400024414,211.6542816162,30480900
2021-01-20,217.6999969482,225.7899932861,217.2899932861,224.3399963379,219.3796234131,37777300
2021-01-21,224.6999969482,226.3000030518,222.4199981689,224.9700012207,219.9956665039,30709400
2021-01-22,227.0800018311,230.0700073242,225.8000030518,225.9499969482,220.9540100098,30172700
2021-01-25,229.1199951172,229.7799987793,224.2200012207,229.5299987793,224.454864502,33152100
2021-01-26,231.8600006104,234.1799926758,230.0800018311,232.3300018311,227.1929626465,49169600
2021-01-27,238.0,240.4400024414,230.1399993896,232.8999938965,227.7503204346,69870600
2021-01-28,235.6100006104,242.6399993896,235.0899963379,238.9299926758,233.6470031738,49111200
2021-01-29,235.9900054932,238.0200042725,231.3500061035,231.9600067139,226.8311309814,42503100
2021-02-01,235.0599975586,242.5,232.4299926758,239.6499938965,234.3510742188,33314200
2021-02-02,241.3000030518,242.3099975586,238.6900024414,239.5099945068,234.2141723633,25916300
2021-02-03,239.5700073242,245.0899963379,239.2599945068,243.0,237.6270141602,27158100
2021-02-04,242.6600036621,243.2400054932,240.3699951172,242.0099945068,236.6589050293,25296100
2021-02-05,242.2299957275,243.2799987793,240.4199981689,242.1999969482,236.8447265625,18054800
2021-02-08,243.1499938965,243.6799926758,240.8099975586,242.4700012207,237.1087036133,22211900
2021-02-09,241.8699951172,244.7599945068,241.3800048828,243.7700042725,238.3800048828,23565000
2021-02-10,245.0,245.9199981689,240.8899993896,242.8200073242,237.4510192871,22186700
2021-02-11,244.7799987793,245.1499938965,242.1499938965,244.4900054932,239.0840759277,15751100
2021-02-12,243.9299926758,245.3000030518,242.7299957275,244.9900054932,239.5730438232,16561100
2021-02-16,245.0299987793,246.1300048828,242.9199981689,243.6999969482,238.3115234375,26728500
2021-02-17,241.3200073242,244.3099975586,240.9400024414,244.1999969482,239.350479126,21653500
2021-02-18,241.8000030518,243.9299926758,240.8600006104,243.7899932861,238.9486083984,16925600
2021-02-19,243.75,243.8600006104,240.1799926758,240.9700012207,236.1846466064,25262600
2021-02-22,237.4199981689,237.9299926758,232.3999938965,234.5099945068,229.8529052734,36446900
2021-02-23,230.3300018311,234.8300018311,228.7299957275,233.2700042725,228.6375427246,30228700
2021-02-24,230.0099945068,235.1999969482,229.0,234.5500030518,229.8921356201,26339700
2021-02-25,232.0800018311,234.5899963379,227.8800048828,228.9900054932,224.4425201416,39542200
2021-02-26,231.5299987793,235.3699951172,229.5399932861,232.3800048828,227.7652282715,37819200
2021-03-01,235.8999938965,237.4700012207,233.1499938965,236.9400024414,232.2346801758,25324000
2021-03-02,237.0099945068,237.3000030518,233.4499969482,233.8699951172,229.2256317139,22812500
2021-03-03,232.1600036621,233.5800018311,227.2599945068,227.5599975586,223.0409545898,34029500
2021-03-04,226.7400054932,232.4900054932,224.2599945068,226.7299957275,222.2274169922,44727800
2021-03-05,229.5200042725,233.2700042725,226.4600067139,231.6000061035,227.0007171631,41872800
2021-03-08,231.3699951172,233.3699951172,227.1300048828,227.3899993896,222.8743286133,35267400
2021-03-09,232.8800048828,235.3800048828,231.6699981689,233.7799987793,229.1373901367,33080500
2021-03-10,237.0,237.0,232.0399932861,232.4199981689,227.8044281006,29746800
2021-03-11,234.9600067139,239.1699981689,234.3099975586,237.1300048828,232.4208984375,29907600
2021-03-12,234.0099945068,235.8200073242,233.2299957275,235.75,231.0682983398,22653700
2021-03-15,234.9600067139,235.1900024414,231.8099975586,234.8099975586,230.1469573975,26034900
2021-03-16,236.2799987793,240.0599975586,235.9400024414,237.7100067139,232.9893951416,28092200
2021-03-17,236.1499938965,238.5500030518,233.2299957275,237.0399932861,232.3326721191,29562100
2021-03-18,232.5599975586,234.1900024414,230.3300018311,230.7200012207,226.1381988525,34833000
2021-03-19,231.0200042725,232.4700012207,229.3500061035,230.3500061035,225.7755432129,46430700
2021-03-22,230.2700042725,236.8999938965,230.1399993896,235.9900054932,231.3035430908,30127000
2021-03-23,237.4900054932,241.0500030518,237.0700073242,237.5800018311,232.8619537354,31638400
2021-03-24,237.8500061035,238.0,235.3200073242,235.4600067139,230.7840423584,25620100
2021-03-25,235.3000030518,236.9400024414,231.5700073242,232.3399963379,227.7259979248,34061900
2021-03-26,231.5500030518,236.7100067139,231.5500030518,236.4799957275,231.7837677002,25479900
2021-03-29,236.5899963379,236.8000030518,231.8800048828,235.2400054932,230.5684204102,25227500
2021-03-30,233.5299987793,233.8500061035,231.1000061035,231.8500061035,227.2457427979,24792000
2021-03-31,232.9100036621,239.1000061035,232.3899993896,235.7700042725,231.0879211426,43623500
2021-04-01,238.4700012207,242.8399963379,238.0500030518,242.3500061035,237.5372161865,30338000
2021-04-05,242.7599945068,249.9600067139,242.6999969482,249.0700073242,244.1237945557,36910600
2021-04-06,247.6100006104,249.3999938965,246.8800048828,247.8600006104,242.9378204346,22931900
2021-04-07,247.8099975586,250.9299926758,247.1900024414,249.8999938965,244.9372711182,22719800
2021-04-08,252.7700042725,254.1399993896,252.0,253.25,248.2207641602,23625200
2021-04-09,252.8699951172,255.9900054932,252.4400024414,255.8500061035,250.7691192627,24326800
2021-04-12,254.7100067139,257.6700134277,254.6199951172,255.9100036621,250.8279266357,27148700
2021-04-13,257.2600097656,259.1900024414,256.8299865723,258.4899902344,253.3566894531,23837500
2021-04-14,257.4800109863,258.8299865723,255.1600036621,255.5899963379,250.5142974854,23070900
2021-04-15,257.9299926758,259.9299926758,257.7300109863,259.5,254.3466644287,25627500
2021-04-16,259.4700012207,261.0,257.6000061035,260.7399902344,255.5620269775,24878600
2021-04-19,260.1900024414,261.4800109863,257.8200073242,258.7399902344,253.6017303467,23209300
2021-04-20,257.8200073242,260.200012207,256.8399963379,258.2600097656,253.1312713623,19722900
2021-04-21,258.9400024414,260.6799926758,257.25,260.5799865723,255.4051818848,24030400
2021-04-22,260.2099914551,261.7799987793,255.6399993896,257.1700134277,252.0629119873,25606200
2021-04-23,257.8800048828,261.5100097656,257.2699890137,261.1499938965,255.9638671875,21462600
2021-04-26,261.6600036621,262.4400024414,260.1700134277,261.549987793,256.3559265137,19763300
2021-04-27,261.5799865723,263.1900024414,260.1199951172,261.9700012207,256.767578125,31014200
2021-04-28,256.0799865723,256.5400085449,252.9499969482,254.5599975586,249.5047302246,46903100
2021-04-29,255.4600067139,256.1000061035,249.0,252.5099945068,247.4954528809,40589000
2021-04-30,249.7400054932,253.0800018311,249.6000061035,252.1799926758,247.1720123291,30945100
2021-05-03,253.3999938965,254.3500061035,251.1199951172,251.8600006104,246.8583679199,19626600
2021-05-04,250.9700012207,251.2100067139,245.7599945068,247.7899932861,242.8692016602,32756100
2021-05-05,249.0599975586,249.5,245.8200073242,246.4700012207,241.5754089355,21901300
2021-05-06,246.4499969482,249.8600006104,244.6900024414,249.7299957275,244.7706756592,26491100
2021-05-07,252.1499938965,254.3000030518,251.1699981689,252.4600067139,247.4464263916,27032900
2021-05-10,250.8699951172,251.7299957275,247.1199951172,247.1799926758,242.2713012695,29299900
2021-05-11,244.5500030518,246.6000061035,242.5700073242,246.2299957275,241.3401794434,33641600
2021-05-12,242.1699981689,244.3800048828,238.0700073242,239.0,234.2537689209,36684400
2021-05-13,241.8000030518,245.6000061035,241.4199981689,243.0299987793,238.203704834,29624300
2021-05-14,245.5800018311,249.1799926758,245.4900054932,248.1499938965,243.2220306396,23901100
2021-05-17,246.5500030518,246.5899963379,243.5200042725,245.1799926758,240.3110046387,24970200
2021-05-18,246.2700042725,246.4100036621,242.8999938965,243.0800018311,238.2527313232,20168000
2021-05-19,239.3099975586,243.2299957275,238.6000061035,243.1199951172,238.8421630859,25739800
2021-05-20,243.9600067139,247.9499969482,243.8600006104,246.4799957275,242.1430511475,21800700
2021-05-21,247.5700073242,248.3300018311,244.7400054932,245.1699981689,240.8560943604,21863100
2021-05-24,247.7899932861,251.1600036621,247.5099945068,250.7799987793,246.3673858643,21411500
2021-05-25,251.7700042725,252.75,250.8200073242,251.7200012207,247.2908477783,17704300
2021-05-26,251.4299926758,252.9400024414,250.75,251.4900054932,247.0649261475,17771600
2021-05-27,251.1699981689,251.4799957275,249.25,249.3099975586,244.9232330322,24426200
2021-05-28,251.0,252.0800018311,249.5599975586,249.6799926758,245.2867279053,18270200
2021-06-01,251.2299957275,251.2899932861,246.9600067139,247.3999938965,243.0468444824,23213300
2021-06-02,248.1300048828,249.2700042725,245.8399963379,247.3000030518,242.948638916,19406700
2021-06-03,245.2200012207,246.3399963379,243.0,245.7100067139,241.3866119385,25307700
2021-06-04,247.7599945068,251.6499938965,247.5099945068,250.7899932861,246.3772125244,25281100
2021-06-07,249.9799957275,254.0899963379,249.8099975586,253.8099975586,249.3440856934,23079200
2021-06-08,255.1600036621,256.0100097656,252.5099945068,252.5700073242,248.1258850098,22455000
2021-06-09,253.8099975586,255.5299987793,253.2100067139,253.5899963379,249.1279754639,17937600
2021-06-10,254.2899932861,257.4599914551,253.6699981689,257.2399902344,252.7136993408,24563600
2021-06-11,257.9899902344,258.4899902344,256.6099853516,257.8900146484,253.3523101807,18999700
2021-06-14,257.8999938965,259.950012207,256.799987793,259.8900146484,255.3171539307,19150500
2021-06-15,259.7699890137,259.9899902344,257.6799926758,258.3599853516,253.8139953613,18038900
2021-06-16,259.3999938965,260.5799865723,254.4199981689,257.3800048828,252.8512573242,27220000
2021-06-17,256.0700073242,261.75,256.0100097656,260.8999938965,256.3093261719,27565500
2021-06-18,259.6300048828,262.299987793,258.75,259.4299926758,254.8651733398,37202200
2021-06-21,259.8200073242,263.5199890137,257.9200134277,262.6300048828,258.0088806152,26696100
2021-06-22,262.7200012207,265.7900085449,262.3999938965,265.5100097656,260.8382263184,24694100
2021-06-23,265.9899902344,266.8299865723,264.4299926758,265.2699890137,260.6024169922,19518700
2021-06-24,266.1600036621,267.8500061035,265.4700012207,266.6900024414,261.997467041,21446900
2021-06-25,266.2300109863,267.25,264.7600097656,265.0199890137,260.3567810059,25611100
2021-06-28,266.1900024414,268.8999938965,265.9100036621,268.7200012207,263.9917297363,19590000
2021-06-29,268.8699951172,271.6499938965,267.9800109863,271.3999938965,266.6245117188,19937800
2021-06-30,270.6900024414,271.3599853516,269.6000061035,270.8999938965,266.1333312988,21656500
2021-07-01,269.6099853516,271.8399963379,269.6000061035,271.6000061035,266.8210449219,16725300
2021-07-02,272.8200073242,278.0,272.5,277.6499938965,272.7646179199,26458000
2021-07-06,278.0299987793,279.3699951172,274.299987793,277.6600036621,272.7744445801,31565600
2021-07-07,279.3999938965,280.6900024414,277.1499938965,279.9299926758,275.0045166016,23260000
2021-07-08,276.8999938965,278.7300109863,274.8699951172,277.4200134277,272.5386352539,24618600
2021-07-09,275.7200012207,278.049987793,275.3200073242,277.9400024414,273.0494689941,23916700
2021-07-12,279.1600036621,279.7699890137,276.5799865723,277.3200073242,272.4403991699,18931700
2021-07-13,277.5199890137,282.8500061035,277.3900146484,280.9800109863,276.0360107422,26120100
2021-07-14,282.3500061035,283.6600036621,280.549987793,282.5100097656,277.5390625,23113700
2021-07-15,282.0,282.5100097656,279.8299865723,281.0299987793,276.0851135254,22604200
2021-07-16,282.0700073242,284.1000061035,279.4599914551,280.75,275.8100585938,26186800
2021-07-19,278.9299926758,280.3699951172,274.450012207,277.0100097656,272.1358642578,32935600
2021-07-20,278.0299987793,280.9700012207,276.2600097656,279.3200073242,274.4052429199,26259700
2021-07-21,278.8999938965,281.5199890137,277.2900085449,281.3999938965,276.4486083984,24364300
2021-07-22,283.8399963379,286.4200134277,283.4200134277,286.1400146484,281.1052246094,23384100
2021-07-23,287.3699951172,289.9899902344,286.5,289.6700134277,284.5730895996,22768100
2021-07-26,289.0,289.6900024414,286.6400146484,289.049987793,283.9639892578,23176100
2021-07-27,289.4299926758,289.5799865723,282.950012207,286.5400085449,281.4981994629,33604100
2021-07-28,288.9899902344,290.1499938965,283.8299865723,286.2200012207,281.1838684082,33566900
2021-07-29,286.2399902344,288.6199951172,286.0799865723,286.5,281.4588928223,18168300
2021-07-30,285.1700134277,286.6600036621,283.9100036621,284.9100036621,279.8968200684,20944800
2021-08-02,286.3599853516,286.7699890137,283.7399902344,284.8200073242,279.8084106445,16267400
2021-08-03,285.4200134277,287.2300109863,284.0,287.1199951172,282.0679931641,17879000
2021-08-04,286.2200012207,287.5899963379,284.6499938965,286.5100097656,281.4687194824,16191300
2021-08-05,286.8800048828,289.6300048828,286.1000061035,289.5199890137,284.4256896973,13900200
2021-08-06,288.5100097656,289.5,287.6199951172,289.4599914551,284.3667602539,16589300
2021-08-09,289.75,291.549987793,287.8099975586,288.3299865723,283.2566223145,16117600
2021-08-10,288.799987793,289.25,285.200012207,286.4400024414,281.3999328613,18616600
2021-08-11,287.2099914551,288.6600036621,285.8599853516,286.950012207,281.900970459,13955900
2021-08-12,286.6300048828,289.9700012207,286.3399963379,289.8099975586,284.7106018066,14561300
2021-08-13,289.4800109863,292.8999938965,289.299987793,292.8500061035,287.6971740723,18249000
2021-08-16,293.1900024414,294.8200073242,290.0199890137,294.6000061035,289.4163818359,22507600
2021-08-17,292.3900146484,293.4299926758,291.0799865723,293.0799865723,287.9230651855,20075300
2021-08-18,292.0400085449,294.8200073242,290.2699890137,290.7300109863,286.1612243652,21813000
2021-08-19,288.6900024414,297.4700012207,288.6400146484,296.7699890137,292.1062927246,29850500
2021-08-20,299.7200012207,305.8399963379,298.0599975586,304.3599853516,299.5769958496,40817600
2021-08-23,303.25,305.3999938965,301.8500061035,304.6499938965,299.8624572754,22830200
2021-08-24,305.0199890137,305.6499938965,302.0,302.6199951172,297.8643493652,18175800
2021-08-25,304.299987793,304.5899963379,300.4200134277,302.0100097656,297.2639465332,20006100
2021-08-26,300.9899902344,302.4299926758,298.950012207,299.0899963379,294.389831543,17666100
2021-08-27,298.9899902344,300.8699951172,296.8299865723,299.7200012207,295.0099487305,22605700
2021-08-30,301.1199951172,304.2200012207,301.0599975586,303.5899963379,298.819152832,16348100
2021-08-31,304.4200134277,304.5,301.5,301.8800048828,297.1360473633,26285300
2021-09-01,302.8699951172,305.1900024414,301.4899902344,301.8299865723,297.0867919922,18983800
2021-09-02,302.200012207,303.3599853516,300.1799926758,301.1499938965,296.4174804688,16285600
2021-09-03,300.9899902344,302.6000061035,300.2600097656,301.1400146484,296.4076843262,14747900
2021-09-07,301.0100097656,301.0899963379,298.200012207,300.1799926758,295.4627075195,17180400
2021-09-08,299.7799987793,300.6099853516,297.4700012207,300.2099914551,295.4922180176,15046800
2021-09-09,300.8200073242,302.1400146484,297.0,297.25,292.5787963867,19927000
2021-09-10,298.4200134277,299.9200134277,295.3800048828,295.7099914551,291.0629882812,19633400
2021-09-13,297.549987793,298.5400085449,294.0799865723,296.9899902344,292.322845459,23652900
2021-09-14,299.5599975586,301.3900146484,298.1000061035,299.7900085449,295.0788574219,21853400
2021-09-15,303.2600097656,305.3200073242,301.8200073242,304.8200073242,300.0298461914,28356300
2021-09-16,303.7600097656,305.3099975586,300.7600097656,305.2200012207,300.4234924316,19550800
2021-09-17,304.1700134277,304.5,299.5299987793,299.8699951172,295.1575622559,41372500
2021-09-20,296.3299865723,298.7200012207,289.5199890137,294.299987793,289.6750793457,38278700
2021-09-21,295.6900024414,297.5400085449,294.0700073242,294.799987793,290.1672668457,22364100
2021-09-22,296.7300109863,300.2200012207,294.5100097656,298.5799865723,293.8878479004,26626300
2021-09-23,298.8500061035,300.8999938965,297.5299987793,299.5599975586,294.8524780273,18604600
2021-09-24,298.2300109863,299.799987793,296.9299926758,299.3500061035,294.6457519531,14999000
2021-09-27,296.1400146484,296.4700012207,292.9400024414,294.1700134277,289.5471801758,23571700
2021-09-28,289.799987793,290.7799987793,282.75,283.5199890137,279.0645141602,43186200
2021-09-29,285.1000061035,286.7699890137,283.0100097656,284.0,279.5370178223,26353700
2021-09-30,285.7099914551,287.8299865723,281.6199951172,281.9200134277,277.4897155762,32343600
2021-10-01,282.1199951172,289.9800109863,281.2900085449,289.1000061035,284.556854248,30086300
2021-10-04,287.3999938965,287.75,280.25,283.1099853516,278.6609191895,31350700
2021-10-05,284.049987793,290.3999938965,284.049987793,288.7600097656,284.2221679688,24993000
2021-10-06,285.7799987793,293.6300048828,285.5100097656,293.1099853516,288.5038757324,28002600
2021-10-07,295.1799926758,296.6400146484,293.9200134277,294.8500061035,290.2164916992,20430500
2021-10-08,296.2200012207,296.6400146484,293.7600097656,294.8500061035,290.2164916992,17685700
2021-10-11,292.9200134277,297.9700012207,292.75,294.2300109863,289.6062316895,19298600
2021-10-12,295.3399963379,295.4400024414,292.3500061035,292.8800048828,288.2774353027,17974100
2021-10-13,294.9100036621,297.2799987793,293.4899902344,296.3099975586,291.6535339355,23416300
2021-10-14,299.2099914551,303.2699890137,297.8299865723,302.75,297.9923706055,27262900
2021-10-15,302.3399963379,304.450012207,300.5199890137,304.2099914551,299.4294128418,25384800
2021-10-18,303.5700073242,308.2099914551,302.6900024414,307.2900085449,302.4610290527,22729300
2021-10-19,308.3500061035,309.299987793,307.2200012207,308.2300109863,303.3861999512,17682100
2021-10-20,309.2099914551,309.700012207,306.1099853516,307.4100036621,302.5791015625,16537100
2021-10-21,307.1700134277,311.0199890137,306.3599853516,310.7600097656,305.8764648438,16918100
2021-10-22,310.3999938965,311.0899963379,307.799987793,309.1600036621,304.3016357422,17449300
2021-10-25,309.3599853516,309.3999938965,306.4599914551,308.1300048828,303.2877502441,17554500
2021-10-26,311.0,312.3999938965,308.6000061035,310.1099853516,305.2366943359,28107300
2021-10-27,316.0,326.1000061035,316.0,323.1700134277,318.0914916992,52588700
2021-10-28,324.3299865723,324.8699951172,321.3599853516,324.3500061035,319.2529296875,26297900
2021-10-29,324.1300048828,332.0,323.8999938965,331.6199951172,326.4086303711,34766000
2021-11-01,331.3599853516,331.4899902344,326.3699951172,329.3699951172,324.1940002441,27073200
2021-11-02,330.3099975586,333.450012207,330.0,333.1300048828,327.8948974609,26487100
2021-11-03,333.8999938965,334.8999938965,330.6499938965,334.0,328.7512207031,21500100
2021-11-04,332.8900146484,336.5400085449,329.5100097656,336.4400024414,331.1528625488,23992200
2021-11-05,338.5100097656,338.7900085449,334.4200134277,336.0599975586,330.7788696289,22570100
2021-11-08,337.299987793,337.6499938965,334.4400024414,336.9899902344,331.6942138672,20897000
2021-11-09,337.1099853516,338.7200012207,334.5299987793,335.950012207,330.6705932617,21307400
2021-11-10,334.5700073242,334.6300048828,329.9200134277,330.799987793,325.6015319824,25500900
2021-11-11,331.25,333.7699890137,330.5100097656,332.4299926758,327.2059326172,16849800
2021-11-12,333.9200134277,337.2300109863,333.7900085449,336.7200012207,331.4284667969,23831000
2021-11-15,337.5400085449,337.8800048828,334.0299987793,336.0700073242,330.7886962891,16723000
2021-11-16,335.6799926758,340.6700134277,335.5100097656,339.5100097656,334.1746520996,20886800
2021-11-17,338.9400024414,342.1900024414,338.0,339.1199951172,334.4014587402,19053400
2021-11-18,338.1799926758,342.450012207,337.1199951172,341.2699890137,336.5215454102,22463500
2021-11-19,342.6400146484,345.1000061035,342.200012207,343.1099853516,338.3359375,21963400
2021-11-22,344.6199951172,349.6700134277,339.549987793,339.8299865723,335.1015625,31031100
2021-11-23,337.049987793,339.450012207,333.5599975586,337.6799926758,332.9814758301,30427600
2021-11-24,336.2799987793,338.1600036621,333.9100036621,337.9100036621,333.2083129883,21661300
2021-11-26,334.3500061035,337.9299926758,328.1199951172,329.6799926758,325.0928344727,24217200
2021-11-29,334.9400024414,339.0299987793,334.7399902344,336.6300048828,331.9461364746,28563500
2021-11-30,335.3200073242,337.7799987793,328.9899902344,330.5899963379,325.9901733398,42885600
2021-12-01,335.1300048828,339.2799987793,329.3900146484,330.0799865723,325.4872436523,33337600
2021-12-02,330.299987793,333.4899902344,327.799987793,329.4899902344,324.9054260254,30766000
2021-12-03,331.9899902344,332.700012207,318.0299987793,323.0100097656,318.5155944824,41779300
2021-12-06,323.950012207,327.450012207,319.2300109863,326.1900024414,321.6513671875,30032600
2021-12-07,331.6400146484,335.799987793,330.1000061035,334.9200134277,330.2599182129,31021900
2021-12-08,335.3099975586,335.5,330.799987793,334.9700012207,330.309173584,24761000
2021-12-09,334.4100036621,336.4899902344,332.1199951172,333.1000061035,328.4652099609,22214200
2021-12-10,334.9800109863,343.0,334.7900085449,342.5400085449,337.7738952637,38095700
2021-12-13,340.6799926758,343.7900085449,339.0799865723,339.3999938965,334.6775512695,28899400
2021-12-14,333.2200012207,334.6400146484,324.1099853516,328.3399963379,323.7714233398,44438700
2021-12-15,328.6099853516,335.1900024414,324.5,334.6499938965,329.9936523438,35381100
2021-12-16,335.7099914551,336.7600097656,323.0199890137,324.8999938965,320.3793029785,35034800
2021-12-17,320.8800048828,324.9200134277,317.25,323.799987793,319.2946166992,47750300
2021-12-20,320.049987793,322.799987793,317.5700073242,319.9100036621,315.458770752,28326500
2021-12-21,323.2900085449,327.7300109863,319.799987793,327.2900085449,322.7360839844,24740600
2021-12-22,328.299987793,333.6099853516,325.75,333.200012207,328.5638427734,24831500
2021-12-23,332.75,336.3900146484,332.7300109863,334.6900024414,330.0331115723,19617800
2021-12-27,335.4599914551,342.4800109863,335.4299926758,342.450012207,337.6851806641,19947000
2021-12-28,343.1499938965,343.8099975586,340.3200073242,341.25,336.5018005371,15661500
2021-12-29,341.299987793,344.299987793,339.6799926758,341.950012207,337.1921081543,15042000
2021-12-30,341.9100036621,343.1300048828,338.8200073242,339.3200073242,334.5986938477,15994500
2021-12-31,338.5100097656,339.3599853516,335.8500061035,336.3200073242,331.640411377,18000800
2022-01-03,335.3500061035,338.0,329.7799987793,334.75,330.0922546387,28865100
2022-01-04,334.8299865723,335.200012207,326.1199951172,329.0100097656,324.4321594238,32674300
2022-01-05,325.8599853516,326.0700073242,315.9800109863,316.3800048828,311.9778442383,40054300
2022-01-06,313.1499938965,318.700012207,311.4899902344,313.8800048828,309.5126342773,39646100
2022-01-07,314.1499938965,316.5,310.0899963379,314.0400085449,309.6704101562,32720000
2022-01-10,309.4899902344,314.7200012207,304.6900024414,314.2699890137,309.8971862793,44289500
2022-01-11,313.3800048828,316.6099853516,309.8900146484,314.9800109863,310.5973510742,29386800
2022-01-12,319.6700134277,323.4100036621,317.0799865723,318.2699890137,313.8415527344,34372200
